Description,Date,Country, SaleAmount 
COSY HOUR CIGAR BOX MATCHES , 11/14/2011 17:55, United Kingdom, $531.00 
RETROSPOT CIGAR BOX MATCHES , 3/25/2011 16:25, United Kingdom, $152.64 
COSY HOUR CIGAR BOX MATCHES , 10/17/2011 15:19, United Kingdom, $152.64 
RETROSPOT CIGAR BOX MATCHES , 11/23/2011 10:31, United Kingdom, $152.64 
RETROSPOT CIGAR BOX MATCHES , 12/5/2011 13:33, United Kingdom, $112.32 
RETROSPOT CIGAR BOX MATCHES , 11/25/2011 13:44, United Kingdom, $90.00 
COSY HOUR CIGAR BOX MATCHES , 10/30/2011 14:27, United Kingdom, $60.00 
RETROSPOT CIGAR BOX MATCHES , 12/2/2010 10:17, United Kingdom, $30.00 
COSY HOUR CIGAR BOX MATCHES , 12/3/2010 10:26, United Kingdom, $30.00 
RETROSPOT CIGAR BOX MATCHES , 12/3/2010 12:29, United Kingdom, $30.00 
COSY HOUR CIGAR BOX MATCHES , 12/6/2010 15:14, United Kingdom, $30.00 
RETROSPOT CIGAR BOX MATCHES , 12/7/2010 11:33, United Kingdom, $30.00 
COSY HOUR CIGAR BOX MATCHES , 12/9/2010 11:48, Channel Islands, $30.00 
RETROSPOT CIGAR BOX MATCHES , 12/13/2010 11:29, United Kingdom, $30.00 
RETROSPOT CIGAR BOX MATCHES , 1/19/2011 9:05, Switzerland, $30.00 
RETROSPOT CIGAR BOX MATCHES , 1/25/2011 13:37, Germany, $30.00 
RETROSPOT CIGAR BOX MATCHES , 2/7/2011 14:33, United Kingdom, $30.00 
RETROSPOT CIGAR BOX MATCHES , 2/21/2011 11:10, United Kingdom, $30.00 
RETROSPOT CIGAR BOX MATCHES , 2/22/2011 13:08, United Kingdom, $30.00 
RETROSPOT CIGAR BOX MATCHES , 2/23/2011 13:21, United Kingdom, $30.00 
RETROSPOT CIGAR BOX MATCHES , 2/25/2011 10:53, United Kingdom, $30.00 
RETROSPOT CIGAR BOX MATCHES , 2/28/2011 10:37, United Kingdom, $30.00 
RETROSPOT CIGAR BOX MATCHES , 4/19/2011 10:49, United Kingdom, $30.00 
RETROSPOT CIGAR BOX MATCHES , 4/20/2011 15:32, United Kingdom, $30.00 
RETROSPOT CIGAR BOX MATCHES , 5/1/2011 12:35, United Kingdom, $30.00 
RETROSPOT CIGAR BOX MATCHES , 5/27/2011 9:39, United Kingdom, $30.00 
COSY HOUR CIGAR BOX MATCHES , 5/27/2011 9:39, United Kingdom, $30.00 
RETROSPOT CIGAR BOX MATCHES , 6/2/2011 9:04, Germany, $30.00 
RETROSPOT CIGAR BOX MATCHES , 6/8/2011 13:00, United Kingdom, $30.00 
COSY HOUR CIGAR BOX MATCHES , 6/8/2011 13:00, United Kingdom, $30.00 
RETROSPOT CIGAR BOX MATCHES , 7/13/2011 12:06, United Kingdom, $30.00 
RETROSPOT CIGAR BOX MATCHES , 7/21/2011 19:34, EIRE, $30.00 
RETROSPOT CIGAR BOX MATCHES , 7/29/2011 9:57, United Kingdom, $30.00 
RETROSPOT CIGAR BOX MATCHES , 8/10/2011 11:30, United Kingdom, $30.00 
RETROSPOT CIGAR BOX MATCHES , 8/16/2011 8:58, United Kingdom, $30.00 
RETROSPOT CIGAR BOX MATCHES , 8/23/2011 13:50, United Kingdom, $30.00 
RETROSPOT CIGAR BOX MATCHES , 9/9/2011 13:44, Norway, $30.00 
COSY HOUR CIGAR BOX MATCHES , 9/13/2011 10:17, United Kingdom, $30.00 
COSY HOUR CIGAR BOX MATCHES , 9/14/2011 9:21, United Kingdom, $30.00 
RETROSPOT CIGAR BOX MATCHES , 9/19/2011 12:27, United Kingdom, $30.00 
RETROSPOT CIGAR BOX MATCHES , 9/20/2011 11:16, United Kingdom, $30.00 
COSY HOUR CIGAR BOX MATCHES , 9/25/2011 12:34, United Kingdom, $30.00 
COSY HOUR CIGAR BOX MATCHES , 9/29/2011 18:53, United Kingdom, $30.00 
COSY HOUR CIGAR BOX MATCHES , 10/6/2011 12:22, United Kingdom, $30.00 
COSY HOUR CIGAR BOX MATCHES , 10/10/2011 14:57, United Kingdom, $30.00 
RETROSPOT CIGAR BOX MATCHES , 10/10/2011 14:57, United Kingdom, $30.00 
COSY HOUR CIGAR BOX MATCHES , 10/11/2011 14:52, France, $30.00 
COSY HOUR CIGAR BOX MATCHES , 10/16/2011 15:32, United Kingdom, $30.00 
RETROSPOT CIGAR BOX MATCHES , 10/18/2011 11:18, United Kingdom, $30.00 
COSY HOUR CIGAR BOX MATCHES , 10/21/2011 10:32, United Kingdom, $30.00 
COSY HOUR CIGAR BOX MATCHES , 10/25/2011 12:54, United Kingdom, $30.00 
COSY HOUR CIGAR BOX MATCHES , 10/27/2011 10:46, United Kingdom, $30.00 
RETROSPOT CIGAR BOX MATCHES , 10/27/2011 12:53, United Kingdom, $30.00 
RETROSPOT CIGAR BOX MATCHES , 10/28/2011 12:09, United Kingdom, $30.00 
COSY HOUR CIGAR BOX MATCHES , 11/4/2011 13:04, United Kingdom, $30.00 
COSY HOUR CIGAR BOX MATCHES , 11/4/2011 14:49, United Kingdom, $30.00 
RETROSPOT CIGAR BOX MATCHES , 11/6/2011 12:01, United Kingdom, $30.00 
COSY HOUR CIGAR BOX MATCHES , 11/6/2011 14:06, United Kingdom, $30.00 
COSY HOUR CIGAR BOX MATCHES , 11/7/2011 11:29, United Kingdom, $30.00 
RETROSPOT CIGAR BOX MATCHES , 11/14/2011 9:12, United Kingdom, $30.00 
COSY HOUR CIGAR BOX MATCHES , 11/16/2011 12:51, United Kingdom, $30.00 
COSY HOUR CIGAR BOX MATCHES , 11/17/2011 13:30, Spain, $30.00 
RETROSPOT CIGAR BOX MATCHES , 11/21/2011 16:25, United Kingdom, $30.00 
COSY HOUR CIGAR BOX MATCHES , 11/21/2011 16:25, United Kingdom, $30.00 
RETROSPOT CIGAR BOX MATCHES , 11/24/2011 15:38, Germany, $30.00 
RETROSPOT CIGAR BOX MATCHES , 11/30/2011 10:15, United Kingdom, $30.00 
COSY HOUR CIGAR BOX MATCHES , 12/7/2011 15:07, United Kingdom, $30.00 
COSY HOUR CIGAR BOX MATCHES , 12/8/2011 10:40, United Kingdom, $30.00 
RETROSPOT CIGAR BOX MATCHES , 12/7/2011 11:16, United Kingdom, $18.72 
COSY HOUR CIGAR BOX MATCHES , 12/13/2010 14:32, United Kingdom, $17.50 
COSY HOUR CIGAR BOX MATCHES , 3/8/2011 17:23, United Kingdom, $17.50 
RETROSPOT CIGAR BOX MATCHES , 2/2/2011 17:06, United Kingdom, $15.00 
COSY HOUR CIGAR BOX MATCHES , 10/10/2011 15:39, United Kingdom, $15.00 
COSY HOUR CIGAR BOX MATCHES , 10/26/2011 14:50, United Kingdom, $15.00 
RETROSPOT CIGAR BOX MATCHES , 11/30/2011 12:01, United Kingdom, $13.75 
COSY HOUR CIGAR BOX MATCHES , 6/16/2011 15:01, United Kingdom, $12.50 
COSY HOUR CIGAR BOX MATCHES , 10/25/2011 13:48, Portugal, $12.50 
COSY HOUR CIGAR BOX MATCHES , 11/7/2011 15:44, United Kingdom, $12.50 
COSY HOUR CIGAR BOX MATCHES , 11/24/2011 14:51, United Kingdom, $12.50 
COSY HOUR CIGAR BOX MATCHES , 12/7/2010 13:20, United Kingdom, $10.00 
RETROSPOT CIGAR BOX MATCHES , 9/9/2011 14:47, United Kingdom, $10.00 
COSY HOUR CIGAR BOX MATCHES , 10/26/2011 12:14, United Kingdom, $10.00 
COSY HOUR CIGAR BOX MATCHES , 11/3/2011 16:56, United Kingdom, $10.00 
COSY HOUR CIGAR BOX MATCHES , 11/15/2011 13:47, United Kingdom, $10.00 
RETROSPOT CIGAR BOX MATCHES , 12/2/2011 13:54, United Kingdom, $9.36 
RETROSPOT CIGAR BOX MATCHES , 12/5/2011 14:03, United Kingdom, $9.36 
RETROSPOT CIGAR BOX MATCHES , 12/6/2011 10:30, United Kingdom, $9.36 
RETROSPOT CIGAR BOX MATCHES , 12/6/2011 12:38, United Kingdom, $9.36 
RETROSPOT CIGAR BOX MATCHES , 12/7/2011 9:35, United Kingdom, $9.36 
RETROSPOT CIGAR BOX MATCHES , 12/7/2011 16:47, United Kingdom, $9.36 
COSY HOUR CIGAR BOX MATCHES , 2/15/2011 17:02, United Kingdom, $8.75 
RETROSPOT CIGAR BOX MATCHES , 2/15/2011 17:02, United Kingdom, $8.75 
RETROSPOT CIGAR BOX MATCHES , 4/21/2011 10:52, United Kingdom, $8.75 
RETROSPOT CIGAR BOX MATCHES , 8/8/2011 13:53, United Kingdom, $8.75 
RETROSPOT CIGAR BOX MATCHES , 11/2/2011 16:29, United Kingdom, $8.75 
COSY HOUR CIGAR BOX MATCHES , 11/9/2011 11:33, United Kingdom, $8.75 
COSY HOUR CIGAR BOX MATCHES , 11/11/2011 12:01, United Kingdom, $8.75 
COSY HOUR CIGAR BOX MATCHES , 12/1/2010 12:15, United Kingdom, $7.50 
RETROSPOT CIGAR BOX MATCHES , 4/19/2011 10:19, United Kingdom, $7.50 
COSY HOUR CIGAR BOX MATCHES , 5/12/2011 16:11, United Kingdom, $7.50 
RETROSPOT CIGAR BOX MATCHES , 7/19/2011 14:59, United Kingdom, $7.50 
COSY HOUR CIGAR BOX MATCHES , 9/18/2011 11:51, United Kingdom, $7.50 
RETROSPOT CIGAR BOX MATCHES , 9/18/2011 16:04, United Kingdom, $7.50 
COSY HOUR CIGAR BOX MATCHES , 9/25/2011 14:37, United Kingdom, $7.50 
COSY HOUR CIGAR BOX MATCHES , 9/27/2011 16:28, United Kingdom, $7.50 
RETROSPOT CIGAR BOX MATCHES , 10/2/2011 11:10, United Kingdom, $7.50 
COSY HOUR CIGAR BOX MATCHES , 10/10/2011 16:03, United Kingdom, $7.50 
RETROSPOT CIGAR BOX MATCHES , 10/21/2011 14:01, United Kingdom, $7.50 
COSY HOUR CIGAR BOX MATCHES , 10/30/2011 14:04, United Kingdom, $7.50 
RETROSPOT CIGAR BOX MATCHES , 11/7/2011 13:01, United Kingdom, $7.50 
COSY HOUR CIGAR BOX MATCHES , 11/8/2011 13:10, United Kingdom, $7.50 
COSY HOUR CIGAR BOX MATCHES , 11/10/2011 19:12, United Kingdom, $7.50 
RETROSPOT CIGAR BOX MATCHES , 11/10/2011 19:12, United Kingdom, $7.50 
RETROSPOT CIGAR BOX MATCHES , 11/11/2011 14:50, United Kingdom, $7.50 
RETROSPOT CIGAR BOX MATCHES , 11/24/2011 13:01, United Kingdom, $7.50 
RETROSPOT CIGAR BOX MATCHES , 11/27/2011 11:18, United Kingdom, $7.50 
COSY HOUR CIGAR BOX MATCHES , 12/6/2011 17:26, United Kingdom, $7.50 
RETROSPOT CIGAR BOX MATCHES , 12/8/2011 13:47, United Kingdom, $6.63 
RETROSPOT CIGAR BOX MATCHES , 1/16/2011 10:56, United Kingdom, $6.25 
RETROSPOT CIGAR BOX MATCHES , 3/29/2011 15:22, United Kingdom, $6.25 
COSY HOUR CIGAR BOX MATCHES , 4/19/2011 16:52, United Kingdom, $6.25 
RETROSPOT CIGAR BOX MATCHES , 5/1/2011 12:37, United Kingdom, $6.25 
RETROSPOT CIGAR BOX MATCHES , 5/22/2011 13:01, United Kingdom, $6.25 
COSY HOUR CIGAR BOX MATCHES , 10/6/2011 18:08, United Kingdom, $6.25 
COSY HOUR CIGAR BOX MATCHES , 10/18/2011 10:53, United Kingdom, $6.25 
COSY HOUR CIGAR BOX MATCHES , 10/25/2011 10:32, United Kingdom, $6.25 
COSY HOUR CIGAR BOX MATCHES , 11/2/2011 16:29, United Kingdom, $6.25 
RETROSPOT CIGAR BOX MATCHES , 11/6/2011 15:17, United Kingdom, $6.25 
RETROSPOT CIGAR BOX MATCHES , 11/23/2011 17:32, United Kingdom, $6.25 
RETROSPOT CIGAR BOX MATCHES , 11/29/2011 12:34, United Kingdom, $6.25 
RETROSPOT CIGAR BOX MATCHES , 12/7/2010 13:20, United Kingdom, $5.00 
RETROSPOT CIGAR BOX MATCHES , 12/9/2010 12:24, United Kingdom, $5.00 
COSY HOUR CIGAR BOX MATCHES , 12/9/2010 20:01, United Kingdom, $5.00 
RETROSPOT CIGAR BOX MATCHES , 12/9/2010 20:01, United Kingdom, $5.00 
RETROSPOT CIGAR BOX MATCHES , 12/12/2010 13:32, United Kingdom, $5.00 
RETROSPOT CIGAR BOX MATCHES , 1/28/2011 15:29, United Kingdom, $5.00 
COSY HOUR CIGAR BOX MATCHES , 2/27/2011 14:49, United Kingdom, $5.00 
RETROSPOT CIGAR BOX MATCHES , 5/9/2011 14:02, United Kingdom, $5.00 
RETROSPOT CIGAR BOX MATCHES , 5/17/2011 13:35, United Kingdom, $5.00 
COSY HOUR CIGAR BOX MATCHES , 7/11/2011 15:26, United Kingdom, $5.00 
COSY HOUR CIGAR BOX MATCHES , 10/16/2011 16:09, United Kingdom, $5.00 
COSY HOUR CIGAR BOX MATCHES , 10/26/2011 12:39, United Kingdom, $5.00 
RETROSPOT CIGAR BOX MATCHES , 10/28/2011 14:38, Switzerland, $5.00 
COSY HOUR CIGAR BOX MATCHES , 11/9/2011 13:58, United Kingdom, $5.00 
COSY HOUR CIGAR BOX MATCHES , 11/15/2011 14:48, United Kingdom, $5.00 
COSY HOUR CIGAR BOX MATCHES , 12/2/2010 15:46, United Kingdom, $3.75 
COSY HOUR CIGAR BOX MATCHES , 12/3/2010 15:19, United Kingdom, $3.75 
COSY HOUR CIGAR BOX MATCHES , 12/13/2010 13:52, United Kingdom, $3.75 
RETROSPOT CIGAR BOX MATCHES , 12/15/2010 11:14, United Kingdom, $3.75 
RETROSPOT CIGAR BOX MATCHES , 1/16/2011 16:10, United Kingdom, $3.75 
RETROSPOT CIGAR BOX MATCHES , 1/31/2011 15:52, United Kingdom, $3.75 
RETROSPOT CIGAR BOX MATCHES , 2/11/2011 16:20, United Kingdom, $3.75 
RETROSPOT CIGAR BOX MATCHES , 3/29/2011 13:22, United Kingdom, $3.75 
COSY HOUR CIGAR BOX MATCHES , 5/23/2011 13:17, United Kingdom, $3.75 
COSY HOUR CIGAR BOX MATCHES , 8/21/2011 15:54, United Kingdom, $3.75 
RETROSPOT CIGAR BOX MATCHES , 9/12/2011 14:24, United Kingdom, $3.75 
RETROSPOT CIGAR BOX MATCHES , 10/2/2011 12:45, United Kingdom, $3.75 
COSY HOUR CIGAR BOX MATCHES , 10/9/2011 13:15, United Kingdom, $3.75 
COSY HOUR CIGAR BOX MATCHES , 10/18/2011 17:10, United Kingdom, $3.75 
COSY HOUR CIGAR BOX MATCHES , 10/19/2011 12:34, United Kingdom, $3.75 
COSY HOUR CIGAR BOX MATCHES , 10/26/2011 12:39, United Kingdom, $3.75 
COSY HOUR CIGAR BOX MATCHES , 10/30/2011 12:14, United Kingdom, $3.75 
COSY HOUR CIGAR BOX MATCHES , 11/1/2011 14:54, United Kingdom, $3.75 
COSY HOUR CIGAR BOX MATCHES , 11/4/2011 16:35, United Kingdom, $3.75 
COSY HOUR CIGAR BOX MATCHES , 11/16/2011 12:19, United Kingdom, $3.75 
COSY HOUR CIGAR BOX MATCHES , 11/16/2011 15:26, United Kingdom, $3.75 
COSY HOUR CIGAR BOX MATCHES , 11/21/2011 11:57, United Kingdom, $3.75 
COSY HOUR CIGAR BOX MATCHES , 11/21/2011 15:57, United Kingdom, $3.75 
COSY HOUR CIGAR BOX MATCHES , 11/22/2011 11:47, United Kingdom, $3.75 
RETROSPOT CIGAR BOX MATCHES , 11/24/2011 13:56, United Kingdom, $3.75 
RETROSPOT CIGAR BOX MATCHES , 11/27/2011 14:40, United Kingdom, $3.75 
RETROSPOT CIGAR BOX MATCHES , 11/30/2011 14:03, United Kingdom, $3.75 
RETROSPOT CIGAR BOX MATCHES , 11/30/2011 14:17, United Kingdom, $3.75 
RETROSPOT CIGAR BOX MATCHES , 12/5/2011 16:05, United Kingdom, $3.51 
RETROSPOT CIGAR BOX MATCHES , 12/7/2011 14:34, United Kingdom, $3.51 
RETROSPOT CIGAR BOX MATCHES , 12/1/2010 14:34, United Kingdom, $2.50 
COSY HOUR CIGAR BOX MATCHES , 12/1/2010 15:35, United Kingdom, $2.50 
RETROSPOT CIGAR BOX MATCHES , 12/3/2010 14:26, United Kingdom, $2.50 
COSY HOUR CIGAR BOX MATCHES , 12/5/2010 12:23, United Kingdom, $2.50 
COSY HOUR CIGAR BOX MATCHES , 12/5/2010 12:29, United Kingdom, $2.50 
RETROSPOT CIGAR BOX MATCHES , 12/5/2010 15:12, United Kingdom, $2.50 
COSY HOUR CIGAR BOX MATCHES , 12/9/2010 14:08, United Kingdom, $2.50 
RETROSPOT CIGAR BOX MATCHES , 12/14/2010 11:12, United Kingdom, $2.50 
RETROSPOT CIGAR BOX MATCHES , 1/21/2011 11:19, United Kingdom, $2.50 
RETROSPOT CIGAR BOX MATCHES , 1/28/2011 12:21, United Kingdom, $2.50 
RETROSPOT CIGAR BOX MATCHES , 2/20/2011 11:39, United Kingdom, $2.50 
COSY HOUR CIGAR BOX MATCHES , 3/6/2011 11:50, United Kingdom, $2.50 
