Description,Date,Country, SaleAmount 
COSY HOUR CIGAR BOX MATCHES , 3/28/2011 12:13, United Kingdom, $2.50 
RETROSPOT CIGAR BOX MATCHES , 4/21/2011 12:00, United Kingdom, $2.50 
COSY HOUR CIGAR BOX MATCHES , 5/10/2011 14:09, United Kingdom, $2.50 
RETROSPOT CIGAR BOX MATCHES , 5/10/2011 14:09, United Kingdom, $2.50 
COSY HOUR CIGAR BOX MATCHES , 6/12/2011 11:47, United Kingdom, $2.50 
COSY HOUR CIGAR BOX MATCHES , 6/26/2011 12:54, United Kingdom, $2.50 
RETROSPOT CIGAR BOX MATCHES , 6/28/2011 13:31, United Kingdom, $2.50 
RETROSPOT CIGAR BOX MATCHES , 7/8/2011 15:25, United Kingdom, $2.50 
RETROSPOT CIGAR BOX MATCHES , 7/17/2011 12:15, Switzerland, $2.50 
RETROSPOT CIGAR BOX MATCHES , 7/28/2011 16:21, Unspecified, $2.50 
RETROSPOT CIGAR BOX MATCHES , 8/26/2011 12:55, United Kingdom, $2.50 
RETROSPOT CIGAR BOX MATCHES , 9/9/2011 14:14, United Kingdom, $2.50 
RETROSPOT CIGAR BOX MATCHES , 10/2/2011 12:41, United Kingdom, $2.50 
RETROSPOT CIGAR BOX MATCHES , 10/13/2011 13:58, United Kingdom, $2.50 
RETROSPOT CIGAR BOX MATCHES , 10/17/2011 12:50, United Kingdom, $2.50 
COSY HOUR CIGAR BOX MATCHES , 10/17/2011 13:43, United Kingdom, $2.50 
RETROSPOT CIGAR BOX MATCHES , 10/17/2011 15:19, United Kingdom, $2.50 
RETROSPOT CIGAR BOX MATCHES , 10/25/2011 13:17, United Kingdom, $2.50 
RETROSPOT CIGAR BOX MATCHES , 10/25/2011 17:31, United Kingdom, $2.50 
COSY HOUR CIGAR BOX MATCHES , 10/30/2011 12:53, United Kingdom, $2.50 
RETROSPOT CIGAR BOX MATCHES , 10/30/2011 12:53, United Kingdom, $2.50 
COSY HOUR CIGAR BOX MATCHES , 10/30/2011 14:04, United Kingdom, $2.50 
COSY HOUR CIGAR BOX MATCHES , 11/1/2011 12:25, United Kingdom, $2.50 
COSY HOUR CIGAR BOX MATCHES , 11/3/2011 15:18, United Kingdom, $2.50 
RETROSPOT CIGAR BOX MATCHES , 11/4/2011 12:39, United Kingdom, $2.50 
RETROSPOT CIGAR BOX MATCHES , 11/7/2011 14:40, United Kingdom, $2.50 
COSY HOUR CIGAR BOX MATCHES , 11/7/2011 15:07, United Kingdom, $2.50 
RETROSPOT CIGAR BOX MATCHES , 11/8/2011 11:25, United Kingdom, $2.50 
COSY HOUR CIGAR BOX MATCHES , 11/10/2011 11:55, United Kingdom, $2.50 
COSY HOUR CIGAR BOX MATCHES , 11/11/2011 16:58, United Kingdom, $2.50 
RETROSPOT CIGAR BOX MATCHES , 11/17/2011 11:45, United Kingdom, $2.50 
RETROSPOT CIGAR BOX MATCHES , 11/17/2011 17:18, United Kingdom, $2.50 
COSY HOUR CIGAR BOX MATCHES , 11/20/2011 12:42, United Kingdom, $2.50 
RETROSPOT CIGAR BOX MATCHES , 11/22/2011 11:58, United Kingdom, $2.50 
COSY HOUR CIGAR BOX MATCHES , 11/22/2011 16:02, United Kingdom, $2.50 
RETROSPOT CIGAR BOX MATCHES , 11/23/2011 11:09, United Kingdom, $2.50 
RETROSPOT CIGAR BOX MATCHES , 11/24/2011 13:56, United Kingdom, $2.50 
RETROSPOT CIGAR BOX MATCHES , 11/27/2011 11:57, United Kingdom, $2.50 
RETROSPOT CIGAR BOX MATCHES , 11/29/2011 12:06, United Kingdom, $2.50 
RETROSPOT CIGAR BOX MATCHES , 11/29/2011 14:20, United Kingdom, $2.50 
RETROSPOT CIGAR BOX MATCHES , 11/29/2011 15:09, United Kingdom, $2.50 
COSY HOUR CIGAR BOX MATCHES , 12/7/2011 14:12, United Kingdom, $2.50 
COSY HOUR CIGAR BOX MATCHES , 12/8/2011 13:50, United Kingdom, $2.50 
COSY HOUR CIGAR BOX MATCHES , 12/8/2011 14:39, United Kingdom, $2.50 
RETROSPOT CIGAR BOX MATCHES , 12/5/2011 12:30, United Kingdom, $2.34 
RETROSPOT CIGAR BOX MATCHES , 12/4/2011 14:55, United Kingdom, $1.95 
RETROSPOT CIGAR BOX MATCHES , 12/8/2011 14:39, United Kingdom, $1.95 
RETROSPOT CIGAR BOX MATCHES , 12/2/2011 14:26, United Kingdom, $1.56 
RETROSPOT CIGAR BOX MATCHES , 12/8/2011 13:50, United Kingdom, $1.56 
RETROSPOT CIGAR BOX MATCHES , 12/1/2010 11:21, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 12/1/2010 12:31, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 12/1/2010 14:34, United Kingdom, $1.25 
COSY HOUR CIGAR BOX MATCHES , 12/2/2010 15:46, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 12/5/2010 13:00, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 12/9/2010 13:24, United Kingdom, $1.25 
COSY HOUR CIGAR BOX MATCHES , 12/9/2010 13:59, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 12/12/2010 11:26, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 12/12/2010 13:26, United Kingdom, $1.25 
COSY HOUR CIGAR BOX MATCHES , 12/17/2010 10:12, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 1/30/2011 11:11, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 2/3/2011 19:32, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 2/8/2011 10:32, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 2/13/2011 14:40, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 2/14/2011 12:16, United Kingdom, $1.25 
COSY HOUR CIGAR BOX MATCHES , 2/15/2011 13:08, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 3/6/2011 11:55, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 3/6/2011 14:44, United Kingdom, $1.25 
COSY HOUR CIGAR BOX MATCHES , 3/7/2011 14:51, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 3/8/2011 12:07, United Kingdom, $1.25 
COSY HOUR CIGAR BOX MATCHES , 3/8/2011 12:49, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 3/14/2011 11:46, United Kingdom, $1.25 
COSY HOUR CIGAR BOX MATCHES , 3/14/2011 11:46, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 3/21/2011 16:32, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 3/24/2011 13:16, United Kingdom, $1.25 
COSY HOUR CIGAR BOX MATCHES , 3/28/2011 16:37, United Kingdom, $1.25 
COSY HOUR CIGAR BOX MATCHES , 4/6/2011 10:07, United Kingdom, $1.25 
COSY HOUR CIGAR BOX MATCHES , 4/7/2011 12:10, United Kingdom, $1.25 
COSY HOUR CIGAR BOX MATCHES , 4/7/2011 12:16, United Kingdom, $1.25 
COSY HOUR CIGAR BOX MATCHES , 4/7/2011 13:16, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 4/8/2011 11:26, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 4/10/2011 13:21, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 4/10/2011 13:26, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 4/17/2011 13:18, United Kingdom, $1.25 
COSY HOUR CIGAR BOX MATCHES , 4/28/2011 14:31, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 5/3/2011 11:40, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 5/8/2011 12:34, United Kingdom, $1.25 
COSY HOUR CIGAR BOX MATCHES , 5/10/2011 14:09, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 5/18/2011 11:28, United Kingdom, $1.25 
COSY HOUR CIGAR BOX MATCHES , 6/1/2011 12:13, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 6/9/2011 11:35, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 6/14/2011 12:06, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 7/3/2011 14:58, United Kingdom, $1.25 
COSY HOUR CIGAR BOX MATCHES , 7/8/2011 15:16, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 7/8/2011 15:22, United Kingdom, $1.25 
COSY HOUR CIGAR BOX MATCHES , 7/21/2011 13:37, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 7/28/2011 16:06, Unspecified, $1.25 
COSY HOUR CIGAR BOX MATCHES , 7/28/2011 16:06, Unspecified, $1.25 
COSY HOUR CIGAR BOX MATCHES , 7/28/2011 16:21, Unspecified, $1.25 
RETROSPOT CIGAR BOX MATCHES , 8/10/2011 17:12, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 8/11/2011 13:34, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 8/11/2011 17:28, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 8/15/2011 10:02, United Kingdom, $1.25 
COSY HOUR CIGAR BOX MATCHES , 8/17/2011 17:01, United Kingdom, $1.25 
COSY HOUR CIGAR BOX MATCHES , 8/21/2011 14:10, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 8/21/2011 14:10, United Kingdom, $1.25 
COSY HOUR CIGAR BOX MATCHES , 8/24/2011 11:31, United Kingdom, $1.25 
COSY HOUR CIGAR BOX MATCHES , 8/25/2011 15:34, United Kingdom, $1.25 
COSY HOUR CIGAR BOX MATCHES , 8/28/2011 12:28, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 8/28/2011 12:28, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 9/1/2011 14:42, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 9/6/2011 15:48, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 9/15/2011 16:32, United Kingdom, $1.25 
COSY HOUR CIGAR BOX MATCHES , 9/18/2011 15:32, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 9/22/2011 14:42, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 9/23/2011 12:38, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 9/28/2011 12:22, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 10/4/2011 14:53, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 10/6/2011 12:15, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 10/7/2011 11:55, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 10/10/2011 15:27, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 10/11/2011 16:25, United Kingdom, $1.25 
COSY HOUR CIGAR BOX MATCHES , 10/13/2011 12:59, United Kingdom, $1.25 
COSY HOUR CIGAR BOX MATCHES , 10/13/2011 13:35, United Kingdom, $1.25 
COSY HOUR CIGAR BOX MATCHES , 10/14/2011 14:58, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 10/17/2011 12:50, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 10/23/2011 15:27, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 10/24/2011 11:33, United Kingdom, $1.25 
COSY HOUR CIGAR BOX MATCHES , 10/25/2011 10:32, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 10/27/2011 20:09, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 10/28/2011 16:10, United Kingdom, $1.25 
COSY HOUR CIGAR BOX MATCHES , 10/30/2011 13:09, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 10/30/2011 13:19, United Kingdom, $1.25 
COSY HOUR CIGAR BOX MATCHES , 10/31/2011 11:57, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 11/3/2011 15:09, United Kingdom, $1.25 
COSY HOUR CIGAR BOX MATCHES , 11/3/2011 15:09, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 11/3/2011 16:30, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 11/3/2011 17:39, United Kingdom, $1.25 
COSY HOUR CIGAR BOX MATCHES , 11/4/2011 12:05, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 11/4/2011 12:20, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 11/6/2011 12:20, United Kingdom, $1.25 
COSY HOUR CIGAR BOX MATCHES , 11/6/2011 12:31, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 11/6/2011 12:44, United Kingdom, $1.25 
COSY HOUR CIGAR BOX MATCHES , 11/6/2011 13:32, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 11/6/2011 13:32, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 11/7/2011 12:29, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 11/8/2011 10:09, United Kingdom, $1.25 
COSY HOUR CIGAR BOX MATCHES , 11/9/2011 12:00, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 11/10/2011 13:03, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 11/10/2011 19:53, United Kingdom, $1.25 
COSY HOUR CIGAR BOX MATCHES , 11/11/2011 10:50, United Kingdom, $1.25 
COSY HOUR CIGAR BOX MATCHES , 11/13/2011 16:18, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 11/14/2011 12:47, United Kingdom, $1.25 
COSY HOUR CIGAR BOX MATCHES , 11/14/2011 15:51, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 11/15/2011 17:26, United Kingdom, $1.25 
COSY HOUR CIGAR BOX MATCHES , 11/16/2011 12:19, United Kingdom, $1.25 
COSY HOUR CIGAR BOX MATCHES , 11/16/2011 12:25, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 11/16/2011 16:42, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 11/17/2011 14:26, United Kingdom, $1.25 
COSY HOUR CIGAR BOX MATCHES , 11/17/2011 14:26, United Kingdom, $1.25 
COSY HOUR CIGAR BOX MATCHES , 11/17/2011 17:18, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 11/17/2011 19:48, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 11/20/2011 11:28, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 11/21/2011 12:05, United Kingdom, $1.25 
COSY HOUR CIGAR BOX MATCHES , 11/21/2011 15:57, United Kingdom, $1.25 
COSY HOUR CIGAR BOX MATCHES , 11/22/2011 12:07, United Kingdom, $1.25 
COSY HOUR CIGAR BOX MATCHES , 11/22/2011 12:24, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 11/22/2011 13:20, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 11/22/2011 14:21, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 11/23/2011 13:27, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 11/23/2011 17:43, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 11/25/2011 11:54, United Kingdom, $1.25 
COSY HOUR CIGAR BOX MATCHES , 11/25/2011 14:24, United Kingdom, $1.25 
COSY HOUR CIGAR BOX MATCHES , 11/27/2011 12:52, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 11/27/2011 13:41, United Kingdom, $1.25 
COSY HOUR CIGAR BOX MATCHES , 12/9/2011 11:34, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 12/2/2011 12:52, United Kingdom, $1.17 
RETROSPOT CIGAR BOX MATCHES , 12/4/2011 13:00, United Kingdom, $1.17 
RETROSPOT CIGAR BOX MATCHES , 12/7/2011 13:53, United Kingdom, $0.78 
RETROSPOT CIGAR BOX MATCHES , 12/7/2011 14:12, United Kingdom, $0.78 
RETROSPOT CIGAR BOX MATCHES , 12/8/2011 11:43, United Kingdom, $0.78 
RETROSPOT CIGAR BOX MATCHES , 12/8/2011 14:39, United Kingdom, $0.78 
RETROSPOT CIGAR BOX MATCHES , 12/2/2011 12:52, United Kingdom, $0.39 
RETROSPOT CIGAR BOX MATCHES , 12/2/2011 14:30, United Kingdom, $0.39 
RETROSPOT CIGAR BOX MATCHES , 12/4/2011 12:32, United Kingdom, $0.39 
RETROSPOT CIGAR BOX MATCHES , 12/5/2011 11:49, United Kingdom, $0.39 
RETROSPOT CIGAR BOX MATCHES , 12/5/2011 12:30, United Kingdom, $0.39 
RETROSPOT CIGAR BOX MATCHES , 12/5/2011 16:55, United Kingdom, $0.39 
RETROSPOT CIGAR BOX MATCHES , 12/7/2011 13:12, United Kingdom, $0.39 
RETROSPOT CIGAR BOX MATCHES , 12/7/2011 14:34, United Kingdom, $0.39 
